# started_at=2025-12-14T19:04:54+03:00
# cmd: vmstat 1
# app_pid=7559

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 24494308 205836 2962860    0    0    88  7332 21297 35843  9  5 86  1  0
 4  0      0 24494308 205836 2962860    0    0     0   348 19647 34545  9  4 87  0  0
 2  1      0 24494308 205836 2962860    0    0     0   712 25197 45866 10  5 84  1  0
 3  1      0 24494308 205836 2962860    0    0     0  1028 17782 26753  5  3 91  1  0
 4  0      0 24494308 205836 2962860    0    0     0   744 14605 28827  6  4 90  1  0
 1  0      0 24494308 205836 2962860    0    0     0   612 20466 32234  7  4 88  1  0
 3  0      0 24494308 205836 2962860    0    0     0   648 15180 26268  3  3 93  1  0
 2  0      0 24494308 205836 2962860    0    0     0   912 22567 45833 12  5 82  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1464 18667 34488  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0   444 35356 25584 48691 10  6 80  5  0
 2  0      0 24494308 205836 2962860    0    0     0   452 21138 38586 11  5 82  1  0
 3  1      0 24494308 205836 2962860    0    0    64   500 22879 42013 12  5 82  1  0
 3  0      0 24494308 205836 2962860    0    0     0   292 16068 29625  8  3 89  1  0
 2  0      0 24494308 205836 2962860    0    0     0   608 36441 39533 10  6 82  1  0
 3  0      0 24494308 205836 2962860    0    0     0  1188 18175 33174  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   360 17540 30348  9  4 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0   504 18535 35293 10  4 86  1  0
 4  0      0 24494308 205836 2962860    0    0   140   380 21313 39475 12  5 83  1  0
 2  0      0 24494308 205836 2962860    0    0     0   796 20031 38400 10  4 84  2  0
 4  0      0 24494308 205836 2962860    0    0    84   412 17550 31592  8  3 88  1  0
 3  0      0 24494308 205836 2962860    0    0     0   480 16899 29556  9  3 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 24494308 205836 2962860    0    0     0   376 11190 18427  3  3 93  1  0
 2  0      0 24494308 205836 2962860    0    0     0   484 16509 29220  4  5 90  1  0
 4  1      0 24494308 205836 2962860    0    0     0   552 18241 31963 10  4 85  1  0
 1  0      0 24494308 205836 2962860    0    0     0   772 15024 22820  3  4 93  1  0
 2  1      0 24494308 205836 2962860    0    0     0  8512 13282 20675  2  4 93  1  0
 2  0      0 24494308 205836 2962860    0    0     0   452 14975 23093  2  4 92  1  0
 4  0      0 24494308 205836 2962860    0    0     0   572 15883 30848  5  4 90  1  0
 2  0      0 24494308 205836 2962860    0    0     0   820 22131 46116 13  5 80  2  0
 4  1      0 24494308 205836 2962860    0    0     0   376 18556 34635  9  3 87  1  0
 4  0      0 24494308 205836 2962860    0    0     0  8300 22659 39283 12  5 82  2  0
 2  0      0 24494308 205836 2962860    0    0     0   452 16729 29431  9  3 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0   472 19485 36638  9  4 86  1  0
 2  0      0 24494308 205836 2962860    0    0     0   532 17572 31160 10  4 85  1  0
 4  0      0 24494308 205836 2962860    0    0     0   656 17252 29833  8  4 87  0  0
 7  0      0 24494308 205836 2962860    0    0     0 13684 19262 37286 11  5 84  0  0
 4  0      0 24494308 205836 2962860    0    0     0  1128 20887 40013  9  5 85  1  0
 2  0      0 24494308 205836 2962860    0    0     0   536 18035 33115 11  4 84  1  0
 6  1      0 24494308 205836 2962860    0    0     0   584 20908 39090 11  4 84  1  0
 2  0      0 24494308 205836 2962860    0    0     0   432 16921 31173  8  4 88  0  0
 2  0      0 24494308 205836 2962860    0    0   128 11812 17647 29763  8  4 88  1  0
 2  0      0 24494308 205836 2962860    0    0     0  1184 17617 31545  9  4 87  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 24494308 205836 2962860    0    0     0   504 19145 35126  9  4 87  1  0
 3  0      0 24494308 205836 2962860    0    0     0   668 20180 38205 12  5 82  1  0
 2  0      0 24494308 205836 2962860    0    0    32   840 25578 52509 20  6 73  1  0
 1  0      0 24494308 205836 2962860    0    0     0  6916 15991 25329  5  4 91  0  0
