# started_at=2025-12-14T19:04:54+03:00
# cmd: sar -q 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:07:24 PM         1      1159      2.44      1.52      0.65         0
07:07:25 PM         1      1158      2.44      1.52      0.65         0
07:07:26 PM         0      1157      2.44      1.52      0.65         0
07:07:27 PM         1      1157      2.44      1.52      0.65         0
07:07:28 PM         1      1158      2.44      1.52      0.65         0
07:07:29 PM         2      1179      2.81      1.61      0.68         0
07:07:30 PM         2      1177      2.81      1.61      0.68         1
07:07:31 PM         1      1163      2.81      1.61      0.68         0
07:07:32 PM         1      1159      2.81      1.61      0.68         0
07:07:33 PM         1      1161      2.81      1.61      0.68         0
07:07:34 PM         1      1160      2.74      1.62      0.69         0
07:07:35 PM         3      1161      2.74      1.62      0.69         0
07:07:36 PM         1      1159      2.74      1.62      0.69         0
07:07:37 PM         1      1159      2.74      1.62      0.69         0
07:07:38 PM         2      1161      2.74      1.62      0.69         0
07:07:39 PM         1      1159      2.76      1.64      0.70         0
07:07:40 PM         1      1164      2.76      1.64      0.70         0
07:07:41 PM         1      1161      2.76      1.64      0.70         0
07:07:42 PM         2      1160      2.76      1.64      0.70         1
07:07:43 PM         1      1164      2.76      1.64      0.70         0
07:07:44 PM         3      1166      2.70      1.65      0.71         0
07:07:45 PM         2      1161      2.70      1.65      0.71         0
07:07:46 PM         1      1162      2.70      1.65      0.71         0
07:07:47 PM         4      1160      2.70      1.65      0.71         1
07:07:48 PM         1      1154      2.70      1.65      0.71         0
07:07:49 PM         2      1174      2.81      1.69      0.73         0
07:07:50 PM         3      1174      2.81      1.69      0.73         0
07:07:51 PM         1      1176      2.81      1.69      0.73         1
07:07:52 PM         1      1160      2.81      1.69      0.73         0
07:07:53 PM         1      1160      2.81      1.69      0.73         0
07:07:54 PM         2      1159      2.74      1.69      0.73         0
07:07:55 PM         2      1159      2.74      1.69      0.73         0
07:07:56 PM         1      1156      2.74      1.69      0.73         1
07:07:57 PM         1      1156      2.74      1.69      0.73         0
07:07:58 PM         1      1159      2.74      1.69      0.73         0
07:07:59 PM         2      1157      2.60      1.68      0.74         0
07:08:00 PM         2      1156      2.60      1.68      0.74         0
07:08:01 PM         1      1156      2.60      1.68      0.74         0
07:08:02 PM         3      1156      2.60      1.68      0.74         0
07:08:03 PM         2      1161      2.60      1.68      0.74         0
07:08:04 PM         1      1155      2.39      1.65      0.73         0
07:08:05 PM         2      1157      2.39      1.65      0.73         0
07:08:06 PM         2      1157      2.39      1.65      0.73         2
07:08:07 PM         1      1155      2.39      1.65      0.73         0
07:08:08 PM         3      1153      2.39      1.65      0.73         1
07:08:09 PM         1      1153      2.39      1.65      0.73         0
07:08:10 PM         5      1175      2.20      1.62      0.73         0
07:08:11 PM         2      1172      2.20      1.62      0.73         0
07:08:12 PM         3      1178      2.20      1.62      0.73         0
07:08:13 PM         4      1160      2.20      1.62      0.73         0
07:08:14 PM         2      1155      2.20      1.62      0.73         0
07:08:15 PM         3      1156      2.10      1.61      0.73         0
07:08:16 PM         4      1155      2.10      1.61      0.73         0
07:08:17 PM         2      1156      2.10      1.61      0.73         0
07:08:18 PM         4      1159      2.10      1.61      0.73         1
07:08:19 PM         2      1156      2.10      1.61      0.73         0
07:08:20 PM         2      1157      2.10      1.62      0.74         0
07:08:21 PM         3      1157      2.10      1.62      0.74         1
07:08:22 PM         2      1156      2.10      1.62      0.74         0
07:08:23 PM         2      1158      2.10      1.62      0.74         0
07:08:24 PM         2      1159      2.10      1.62      0.74         0
07:08:25 PM         3      1156      2.01      1.61      0.74         0
07:08:26 PM         3      1138      2.01      1.61      0.74         0
07:08:27 PM         2      1136      2.01      1.61      0.74         0
07:08:28 PM         1      1140      2.01      1.61      0.74         0
07:08:29 PM         5      1151      2.01      1.61      0.74         1
07:08:30 PM         2      1152      1.93      1.60      0.74         0
07:08:31 PM         2      1150      1.93      1.60      0.74         0
07:08:32 PM         2      1152      1.93      1.60      0.74         0
07:08:33 PM         3      1172      1.93      1.60      0.74         0
07:08:34 PM         2      1171      1.93      1.60      0.74         0
07:08:35 PM         2      1173      1.85      1.59      0.74         0
07:08:36 PM         2      1157      1.85      1.59      0.74         0
07:08:37 PM         3      1155      1.85      1.59      0.74         0
07:08:38 PM         3      1154      1.85      1.59      0.74         0
07:08:39 PM         2      1153      1.85      1.59      0.74         0
07:08:40 PM         7      1157      1.94      1.61      0.75         0
07:08:41 PM         2      1153      1.94      1.61      0.75         0
