# started_at=2025-12-14T19:04:55+03:00
# cmd: pidstat -d -p 7559 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:55 PM   UID       PID   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
07:06:52 PM 174209043      7559      0.00     56.00      0.00       0  app_linux_amd64
07:06:53 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:06:54 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:06:55 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:06:56 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:06:57 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:06:58 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:06:59 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:07:00 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:01 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:07:02 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:07:03 PM 174209043      7559      0.00      4.00      0.00       0  app_linux_amd64
07:07:04 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:07:05 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:06 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:07 PM 174209043      7559      0.00     48.00      0.00       0  app_linux_amd64
07:07:08 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:07:09 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:10 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:11 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:07:12 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:07:13 PM 174209043      7559      0.00     27.72      0.00       0  app_linux_amd64
07:07:14 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:07:15 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:07:16 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:07:17 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:07:18 PM 174209043      7559      0.00     40.00      0.00       0  app_linux_amd64
07:07:19 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:07:20 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:07:21 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:22 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:07:23 PM 174209043      7559      0.00     36.00      0.00       0  app_linux_amd64
07:07:24 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:07:25 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:07:26 PM 174209043      7559      0.00     44.00      0.00       0  app_linux_amd64
07:07:27 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:07:28 PM 174209043      7559      0.00     16.00      0.00       0  app_linux_amd64
07:07:29 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:30 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
07:07:31 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:32 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:33 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:07:34 PM 174209043      7559      0.00     32.00      0.00       0  app_linux_amd64
07:07:35 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:07:36 PM 174209043      7559      0.00      8.00      0.00       0  app_linux_amd64
07:07:37 PM 174209043      7559      0.00     12.00      0.00       0  app_linux_amd64
07:07:38 PM 174209043      7559      0.00     20.00      0.00       0  app_linux_amd64
07:07:39 PM 174209043      7559      0.00     28.00      0.00       0  app_linux_amd64
07:07:40 PM 174209043      7559      0.00     24.00      0.00       0  app_linux_amd64
