# started_at=2025-12-14T19:04:55+03:00
# /proc/softirqs snapshots

### ts=2025-12-14T19:04:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      18061      13058      18186      12940      18433      13019      22114      13431      17629      12816      18019      12485          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         40         21         24         20         35         49        139       6000         36        152        219       2119          0          0          0          0
       SCHED:     101385     108704      98115     101074      97638      99176      96108      95116      95164      92918      95876      93331          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     115015      97099     113480      94433     115580      97530     117213      95182     113367      97894     109464      93567          0          0          0          0

### ts=2025-12-14T19:11:01+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          5        145          4          1         25         46          0          0          0          0
       TIMER:      16202      15351      15411      11642      15239      11018      15845      11095      15266      11592      15169      11486          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      18753      13647      18916      13555      19117      13419      22914      13929      18347      13394      18751      12979          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         40         21         24         20         35         49        139       6000         36        152        219       2133          0          0          0          0
       SCHED:     102661     109986      99313     102277      98828     100344      97291      96336      96359      94154      97096      94569          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     116117      98448     114633      95446     117189      98747     118276      96199     114450      99008     110577      94509          0          0          0          0

### ts=2025-12-14T19:11:06+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          5        145          4          1         25         46          0          0          0          0
       TIMER:      16550      15608      15811      11911      15567      11216      16226      11375      15638      11811      15534      11790          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      19478      14094      19614      14091      19846      13835      23694      14490      19133      13868      19430      13604          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         40         21         24         20         35         49        139       6000         36        152        219       2154          0          0          0          0
       SCHED:     103788     111156     100494     103499      99992     101447      98459      97605      97559      95361      98279      95837          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     118308      99973     115900      96509     118733     100728     119595      97454     115740     100766     112288      96106          0          0          0          0

### ts=2025-12-14T19:11:11+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          5        145          4          1         25         46          0          0          0          0
       TIMER:      16916      16002      16146      12119      15873      11458      16595      11690      15968      12071      15838      12080          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      20236      14829      20312      14475      20534      14351      24396      15019      19761      14407      20090      14227          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         40         21         24         20         35         49        139       6000         36        152        219       2168          0          0          0          0
       SCHED:     105007     112430     101668     104644     101125     102621      99656      98847      98670      96628      99441      97097          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     119584     100803     117288      97573     120483     102739     121079      99137     117044     102292     113760      97331          0          0          0          0

### ts=2025-12-14T19:11:16+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          5        145          4          1         25         46          0          0          0          0
       TIMER:      17315      16284      16420      12283      16154      11764      17008      11952      16350      12315      16180      12418          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      21038      15355      20883      14847      21150      14971      25071      15482      20562      14947      20860      14800          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         40         21         24         20         35         49        139       6000         36        152        219       2189          0          0          0          0
       SCHED:     106221     113668     102782     105876     102277     103906     100847      99946      99872      97852     100641      98432          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     121343     102255     118773      98875     122336     103753     122550     100480     118051     103439     115388      99045          0          0          0          0

### ts=2025-12-14T19:11:21+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          5        145          4          1         25         46          0          0          0          0
       TIMER:      17647      16560      16763      12572      16486      11996      17418      12191      16703      12644      16515      12659          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      21695      15916      21607      15501      21854      15471      25727      15953      21347      15572      21567      15364          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         40         21         24         20         35         49        139       6000         36        152        219       2203          0          0          0          0
       SCHED:     107428     115096     103980     107125     103454     105023     101994     101189     101091      99041     101808      99627          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     122672     103069     119722     100435     123614     105006     123621     101557     119086     104282     117115     100306          0          0          0          0

### ts=2025-12-14T19:11:26+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          6        148          4          1         25         47          0          0          0          0
       TIMER:      17952      16825      17086      12814      16847      12272      17768      12512      17069      12935      16830      12938          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      22249      16284      22252      16042      22600      16018      26446      16514      22110      16156      22257      15863          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         51         21         24         20         35         49        139       6019         36        152        219       2234          0          0          0          0
       SCHED:     108538     116235     105135     108361     104683     106237     103184     102422     102280     100249     102950     100785          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     124196     104590     121374     102004     124936     106211     125213     102796     120790     105421     118370     101662          0          0          0          0

### ts=2025-12-14T19:11:31+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          6        149          4          1         25         47          0          0          0          0
       TIMER:      18278      17122      17415      13052      17194      12542      18076      12782      17426      13258      17168      13113          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      22921      16825      22980      16473      23376      16510      27167      17155      22851      16720      22914      16124          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         51         21         24         20         35         49        139       6024         36        152        219       2248          0          0          0          0
       SCHED:     109708     117520     106337     109431     105890     107438     104413     103811     103465     101492     104116     101803          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     125635     106033     122417     102924     126209     107749     126423     103941     122711     106464     119472     103233          0          0          0          0

### ts=2025-12-14T19:11:36+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          6        149          4          1         25         47          0          0          0          0
       TIMER:      18365      17287      17488      13078      17377      12771      18151      12936      17506      13329      17234      13150          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      22995      16872      23058      16488      23416      16563      27254      17293      22922      16809      23002      16161          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         51         21         24         20         35         49        139       6024         36        152        219       2269          0          0          0          0
       SCHED:     110805     118915     107515     110708     107095     108693     105623     104941     104576     102767     104534     102786          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     127047     107204     124082     103975     127500     108695     127821     105496     124739     107620     120405     104159          0          0          0          0

### ts=2025-12-14T19:11:41+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          6        149          4          1         25         47          0          0          0          0
       TIMER:      18621      17484      17611      13183      17526      12895      18285      13040      17665      13523      17415      13277          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      23584      17296      23430      16855      23862      17017      27772      17806      23364      17175      23343      16628          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         51         21         24         20         35         49        139       6024         36        152        219       2283          0          0          0          0
       SCHED:     111945     120012     108397     111880     108258     109934     106777     106075     105660     103718     105680     103947          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     128588     108651     125479     105017     128898     109833     129322     106921     126081     108601     122410     105741          0          0          0          0

### ts=2025-12-14T19:11:46+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          6        149          4          1         25         47          0          0          0          0
       TIMER:      19010      17852      18026      13547      17946      13220      18689      13359      18054      13863      17909      13634          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      24564      18136      24430      17731      24800      17842      28756      18505      24311      18101      24396      17459          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         51         21         24         20         35         49        139       6024         36        152        219       2304          0          0          0          0
       SCHED:     113100     121184     109528     113046     109414     111085     107919     107230     106786     104882     106877     105193          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     129910     109728     127746     106635     130552     111335     130883     108186     127358     109994     123992     107189          0          0          0          0

### ts=2025-12-14T19:11:51+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          4          4          5          2          3          4          6        149          4          1         25         47          0          0          0          0
       TIMER:      19438      18280      18414      13928      18334      13567      19099      13703      18464      14165      18403      13981          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      25585      19155      25417      18703      25795      18680      29676      19363      25315      18895      25474      18292          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         51         21         24         20         35         49        139       6024         36        152        219       2318          0          0          0          0
       SCHED:     114277     122442     110670     114396     110573     112213     109043     108349     107910     106025     108087     106389          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     131633     110941     129203     108225     132295     112651     132642     109572     128914     111528     125681     108953          0          0          0          0

### ts=2025-12-14T19:11:56+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          5          6        150          4          1         25         49          0          0          0          0
       TIMER:      19878      18756      18829      14239      18736      13932      19414      14050      18900      14544      18854      14378          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      26674      20042      26405      19597      26743      19609      30497      20257      26480      19815      26582      19312          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         54         21         24         20         35         57        142       6036         36        152        219       2353          0          0          0          0
       SCHED:     115449     123670     111847     115675     111662     113434     110076     109458     109051     107187     109242     107614          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     133421     113116     130980     109538     133939     113838     134461     111175     131251     113007     126991     110282          0          0          0          0

### ts=2025-12-14T19:12:01+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          5          6        151          4          1         25         49          0          0          0          0
       TIMER:      20346      19148      19247      14567      19164      14273      19800      14447      19341      14941      19314      14781          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      27818      20774      27424      20295      27847      20472      31486      21155      27557      20726      27633      20257          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         54         21         24         20         35         58        142       6039         36        152        219       2368          0          0          0          0
       SCHED:     116636     124849     113013     116787     112829     114661     111180     110605     110197     108372     110408     108803          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     135148     114328     132834     110784     135437     115288     135766     112087     132690     114251     128533     111788          0          0          0          0

### ts=2025-12-14T19:12:06+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          5          6        151          4          1         25         49          0          0          0          0
       TIMER:      20751      19503      19643      14950      19496      14615      20276      14855      19774      15282      19722      15141          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      28840      21578      28429      21162      28744      21288      32563      22063      28571      21526      28606      21182          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         54         21         24         20         35         58        142       6039         36        152        219       2389          0          0          0          0
       SCHED:     117828     126089     114194     118038     113941     115884     112382     111814     111400     109559     111584     109976          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     136518     115654     134560     111784     136938     116679     137150     113335     133926     115538     129611     113251          0          0          0          0

### ts=2025-12-14T19:12:11+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          5          6        151          4          1         25         49          0          0          0          0
       TIMER:      21118      19843      20036      15309      19876      14977      20705      15236      20335      15637      20121      15548          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      29857      22300      29395      22085      29790      22240      33732      22965      29668      22364      29672      22047          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         54         21         24         20         35         58        142       6039         36        152        219       2403          0          0          0          0
       SCHED:     118891     127227     115297     119222     115060     117052     113550     112992     112612     110783     112706     111161          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     137927     117643     136150     112957     138555     117848     138836     114904     135603     117051     131450     114205          0          0          0          0

### ts=2025-12-14T19:12:16+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          5          6        151          4          1         25         49          0          0          0          0
       TIMER:      21510      20192      20439      15681      20305      15345      21140      15573      20810      15998      20493      15916          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      30753      23098      30405      22969      30806      23199      34747      23717      30653      23238      30591      22975          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         54         21         24         20         35         58        142       6039         36        152        219       2424          0          0          0          0
       SCHED:     119952     128366     116453     120400     116191     118297     114730     114108     113795     111945     113812     112339          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     139282     119195     137345     114441     140102     119089     140168     116292     136717     118176     133514     115499          0          0          0          0

### ts=2025-12-14T19:12:21+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          5          6        151          4          1         25         49          0          0          0          0
       TIMER:      21948      20565      20857      16063      20709      15587      21543      15923      21265      16410      20917      16307          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      31908      24050      31362      23874      31815      23675      35777      24499      31755      24154      31697      23896          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         54         21         24         20         35         58        142       6039         36        152        219       2438          0          0          0          0
       SCHED:     121079     129568     117591     121602     117319     119256     115876     115193     115019     113159     115028     113543          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     140643     120549     139792     115748     141778     120726     141365     117594     138580     119408     134734     116819          0          0          0          0

### ts=2025-12-14T19:12:26+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          7          6        153          4          1         25         50          0          0          0          0
       TIMER:      22382      20947      21412      16434      21111      15958      21940      16253      21661      16787      21281      16648          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      32945      24930      32538      24675      32724      24602      36756      25387      32763      25060      32574      24821          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         55         21         24         20         35         70        142       6048         41        152        219       2472          0          0          0          0
       SCHED:     122253     130788     118829     122813     118445     120534     117034     116348     116199     114346     116144     114720          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     141872     121791     141176     117185     143395     122159     143199     119076     139948     120600     136266     118084          0          0          0          0

### ts=2025-12-14T19:12:31+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          7          6        154          4          1         25         50          0          0          0          0
       TIMER:      22727      21289      21937      16773      21506      16356      22335      16589      22101      17142      21689      17035          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      33756      25641      33662      25447      33777      25504      37698      26247      33824      25998      33627      25773          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         55         21         24         20         35         72        142       6051         41        152        219       2486          0          0          0          0
       SCHED:     123337     131803     120070     124056     119586     121727     118138     117568     117360     115650     117352     115958          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     143090     122743     142400     118355     145690     123491     144516     120524     141725     122082     137505     119201          0          0          0          0

### ts=2025-12-14T19:12:36+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          7          6        154          4          1         25         50          0          0          0          0
       TIMER:      23112      21691      22402      17150      21873      16764      22752      16935      22485      17474      22070      17351          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      34740      26568      34746      26371      34700      26433      38798      27110      34864      26812      34608      26552          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:         55         21         24         20         35         72        142       6051         41        152        219       2507          0          0          0          0
       SCHED:     124487     132973     121275     125289     120746     122930     119299     118728     118523     116847     118477     117122          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:     144530     124294     144023     119696     146834     124766     145576     121494     143823     123555     139227     120675          0          0          0          0

### ts=2025-12-14T19:12:41+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          5          4          5          2          3          7          6        154          4          1         25         50          0          0          0          0
       TIMER:      23518      22092      22802      17548      22229      17092      23258      17337      22846      17798      22473      17747          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:      35764      27438      35752      27286      35551      27271      39901      28084      35684      27646      35665      27407          0          0          0          0
