# started_at=2025-12-14T19:04:55+03:00
# /proc/softirqs snapshots

### ts=2025-12-14T19:04:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
      NET_RX:        290        195        149        213        194        156       2487        281        224        149        179        154          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8          1          1          5         25          8         98       5844          4        142        205        926          0          0          0          0
       SCHED:      29136      30720      27106      26961      26282      25624      25674      23909      25739      23301      26037      23987          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      29411      26098      30025      23136      28807      25841      30050      24374      28798      26614      27939      23258          0          0          0          0

### ts=2025-12-14T19:05:50+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          2        117          0          1         25         35          0          0          0          0
       TIMER:       3152       3150       2516       2320       2290       1744       2589       1449       2767       2201       2710       2644          0          0          0          0
      NET_TX:          0          1          0          1          3          2          1          1          0          0          0          0          0          0          0          0
      NET_RX:        290        201        151        215        195        157       2515        281        226        149        181        154          0          0          0          0
       BLOCK:          0          0          0         30          0          0          0          0          0          0          0          0          0          0          0          0
    IRQ_POLL:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
     TASKLET:          8          1          1          5         25          8         99       5847          4        142        205        940          0          0          0          0
       SCHED:      30444      32210      28082      28112      27366      26608      26738      24948      26869      24216      27183      25044          0          0          0          0
     HRTIMER:          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
         RCU:      30431      27108      31350      24329      29862      26524      31101      25400      29611      27156      28990      24106          0          0          0          0

### ts=2025-12-14T19:05:55+03:00
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       CPU8       CPU9       CPU10      CPU11      CPU12      CPU13      CPU14      CPU15      
          HI:          1          0          0          0          2          0          2        117          0          1         25         35          0          0          0          0
