# started_at=2025-12-14T19:04:54+03:00
# cmd: mpstat -P ALL 1
# app_pid=7559

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

07:04:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:09 PM    4    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
07:05:09 PM    5    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:05:09 PM    6    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
07:05:09 PM    7    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:05:09 PM    8   20.41    0.00    5.10    1.02    0.00    0.00    0.00    0.00    0.00   73.47
07:05:09 PM    9    1.98    0.00    4.95    1.98    0.00    0.00    0.00    0.00    0.00   91.09
07:05:09 PM   10    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
07:05:09 PM   11    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98

07:05:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:10 PM  all    7.92    0.00    2.42    0.25    0.00    0.58    0.00    0.00    0.00   88.82
07:05:10 PM    0    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:05:10 PM    1    3.92    0.00    2.94    0.00    0.00    0.98    0.00    0.00    0.00   92.16
07:05:10 PM    2    6.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   90.00
07:05:10 PM    3    1.94    0.00    4.85    0.00    0.00    3.88    0.00    0.00    0.00   89.32
07:05:10 PM    4   57.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   41.84
07:05:10 PM    5    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
07:05:10 PM    6    4.90    0.00    4.90    0.98    0.00    0.00    0.00    0.00    0.00   89.22
07:05:10 PM    7    5.00    0.00    4.00    2.00    0.00    0.00    0.00    0.00    0.00   89.00
07:05:10 PM    8    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
07:05:10 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:05:10 PM   10   12.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
07:05:10 PM   11    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98

07:05:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:05:11 PM  all   14.23    0.00    3.96    0.51    0.00    0.08    0.00    0.00    0.00   81.23
07:05:11 PM    0   11.00    0.00    7.00    3.00    0.00    0.00    0.00    0.00    0.00   79.00
07:05:11 PM    1    6.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
07:05:11 PM    2    7.29    0.00    1.04    1.04    0.00    1.04    0.00    0.00    0.00   89.58
