# started_at=2025-12-14T01:53:18+03:00
# cmd: mpstat -P ALL 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:27 AM    1   52.94    0.00    6.86    0.98    0.00    0.00    0.00    0.00    0.00   39.22
01:53:27 AM    2   31.31    0.00   13.13    1.01    0.00    0.00    0.00    0.00    0.00   54.55
01:53:27 AM    3   40.40    1.01    9.09    1.01    0.00    0.00    0.00    0.00    0.00   48.48
01:53:27 AM    4   30.69    0.00   36.63    0.00    0.00    0.00    0.00    0.00    0.00   32.67
01:53:27 AM    5   28.28    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   64.65
01:53:27 AM    6   54.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
01:53:27 AM    7   26.53    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   61.22
01:53:27 AM    8   42.27    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   43.30
01:53:27 AM    9   43.43    0.00   10.10    1.01    0.00    0.00    0.00    0.00    0.00   45.45
01:53:27 AM   10   83.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
01:53:27 AM   11   45.45    1.01    6.06    0.00    0.00    0.00    0.00    0.00    0.00   47.47

01:53:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:28 AM  all   44.53    0.50   11.44    0.50    0.00    0.00    0.00    0.00    0.00   43.03
01:53:28 AM    0   53.19    0.00    9.57    1.06    0.00    0.00    0.00    0.00    0.00   36.17
01:53:28 AM    1   68.00    0.00    7.00    1.00    0.00    0.00    0.00    0.00    0.00   24.00
01:53:28 AM    2   38.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   49.00
01:53:28 AM    3   37.04    1.85   10.19    0.00    0.00    0.00    0.00    0.00    0.00   50.93
01:53:28 AM    4   43.14    0.98   20.59    0.00    0.00    0.00    0.00    0.00    0.00   35.29
01:53:28 AM    5   44.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   43.00
01:53:28 AM    6   31.68    0.00   12.87    0.00    0.00    0.00    0.00    0.00    0.00   55.45
01:53:28 AM    7   24.75    0.00   10.89    0.99    0.00    0.00    0.00    0.00    0.00   63.37
01:53:28 AM    8   33.00    0.00   14.00    2.00    0.00    0.00    0.00    0.00    0.00   51.00
01:53:28 AM    9   58.16    1.02   10.20    0.00    0.00    0.00    0.00    0.00    0.00   30.61
01:53:28 AM   10   57.00    2.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
01:53:28 AM   11   48.04    0.00    7.84    0.98    0.00    0.00    0.00    0.00    0.00   43.14

01:53:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:29 AM  all   50.17    0.33   14.44    0.17    0.00    0.00    0.00    0.00    0.00   34.89
01:53:29 AM    0   62.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
01:53:29 AM    1   78.22    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   13.86
01:53:29 AM    2   55.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   36.00
01:53:29 AM    3   43.43    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   48.48
01:53:29 AM    4   33.33    0.00   33.33    1.01    0.00    0.00    0.00    0.00    0.00   32.32
01:53:29 AM    5   45.10    0.98   12.75    0.98    0.00    0.00    0.00    0.00    0.00   40.20
01:53:29 AM    6   46.53    0.99   14.85    0.00    0.00    0.00    0.00    0.00    0.00   37.62
01:53:29 AM    7   68.00    1.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   20.00
01:53:29 AM    8   46.94    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   43.88
01:53:29 AM    9   42.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   43.00
01:53:29 AM   10   39.60    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.00   33.66
01:53:29 AM   11   41.24    1.03   17.53    0.00    0.00    0.00    0.00    0.00    0.00   40.21

01:53:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:30 AM  all   48.46    0.58   11.26    0.17    0.00    0.00    0.00    0.00    0.00   39.53
01:53:30 AM    0   41.00    1.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   50.00
01:53:30 AM    1   56.12    1.02    5.10    0.00    0.00    0.00    0.00    0.00    0.00   37.76
01:53:30 AM    2   40.78    1.94   12.62    0.00    0.00    0.00    0.00    0.00    0.00   44.66
01:53:30 AM    3   34.34    2.02    8.08    0.00    0.00    0.00    0.00    0.00    0.00   55.56
01:53:30 AM    4   44.44    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   50.51
01:53:30 AM    5   42.86    1.02    4.08    1.02    0.00    0.00    0.00    0.00    0.00   51.02
01:53:30 AM    6   44.12    0.00   13.73    0.00    0.00    0.00    0.00    0.00    0.00   42.16
01:53:30 AM    7   80.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   11.00
01:53:30 AM    8   64.36    0.00   15.84    0.00    0.00    0.00    0.00    0.00    0.00   19.80
01:53:30 AM    9   48.48    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   43.43
01:53:30 AM   10   38.38    0.00   38.38    1.01    0.00    0.00    0.00    0.00    0.00   22.22
01:53:30 AM   11   46.53    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   46.53

01:53:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:31 AM  all   48.05    0.25   14.43    0.51    0.00    0.00    0.00    0.00    0.00   36.76
01:53:31 AM    0   56.70    1.03   19.59    0.00    0.00    0.00    0.00    0.00    0.00   22.68
01:53:31 AM    1   53.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00    0.00   39.00
01:53:31 AM    2   42.42    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   43.43
01:53:31 AM    3   40.21    0.00   10.31    1.03    0.00    0.00    0.00    0.00    0.00   48.45
01:53:31 AM    4   43.88    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   33.67
01:53:31 AM    5   31.96    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   45.36
01:53:31 AM    6   46.00    0.00   12.00    2.00    0.00    0.00    0.00    0.00    0.00   40.00
01:53:31 AM    7   64.65    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   15.15
01:53:31 AM    8   42.86    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   50.00
01:53:31 AM    9   73.74    0.00    6.06    1.01    0.00    0.00    0.00    0.00    0.00   19.19
01:53:31 AM   10   42.86    2.04   11.22    1.02    0.00    0.00    0.00    0.00    0.00   42.86
01:53:31 AM   11   37.50    0.00   19.79    1.04    0.00    0.00    0.00    0.00    0.00   41.67

01:53:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:32 AM  all   46.41    0.17   10.80    0.25    0.00    0.08    0.00    0.00    0.00   42.28
01:53:32 AM    0   44.33    0.00    7.22    1.03    0.00    0.00    0.00    0.00    0.00   47.42
01:53:32 AM    1   53.54    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   41.41
01:53:32 AM    2   45.00    1.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
01:53:32 AM    3   46.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   44.00
01:53:32 AM    4   52.48    0.00   15.84    0.00    0.00    0.99    0.00    0.00    0.00   30.69
01:53:32 AM    5   52.48    0.00    8.91    0.99    0.00    0.00    0.00    0.00    0.00   37.62
01:53:32 AM    6   28.57    1.02   23.47    0.00    0.00    0.00    0.00    0.00    0.00   46.94
01:53:32 AM    7   43.56    0.00    8.91    0.99    0.00    0.00    0.00    0.00    0.00   46.53
01:53:32 AM    8   36.46    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   52.08
01:53:32 AM    9   64.29    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   30.61
01:53:32 AM   10   31.58    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   53.68
01:53:32 AM   11   57.58    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   32.32

01:53:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:33 AM  all   51.18    0.42   15.29    0.08    0.00    0.00    0.00    0.00    0.00   33.03
01:53:33 AM    0   57.58    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   31.31
01:53:33 AM    1   84.85    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00    6.06
01:53:33 AM    2   53.47    0.00   10.89    0.00    0.00    0.00    0.00    0.00    0.00   35.64
01:53:33 AM    3   26.00    3.00   24.00    0.00    0.00    0.00    0.00    0.00    0.00   47.00
01:53:33 AM    4   55.10    0.00   22.45    0.00    0.00    0.00    0.00    0.00    0.00   22.45
01:53:33 AM    5   42.00    1.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   43.00
01:53:33 AM    6   44.44    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   41.41
01:53:33 AM    7   48.51    0.00   14.85    0.00    0.00    0.00    0.00    0.00    0.00   36.63
01:53:33 AM    8   58.33    0.00   10.42    1.04    0.00    0.00    0.00    0.00    0.00   30.21
01:53:33 AM    9   63.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   31.00
01:53:33 AM   10   34.34    1.01   30.30    0.00    0.00    0.00    0.00    0.00    0.00   34.34
01:53:33 AM   11   46.94    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   36.73

01:53:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:53:34 AM  all   50.08    0.08   13.17    0.17    0.00    0.00    0.00    0.00    0.00   36.50
01:53:34 AM    0   48.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   42.00
01:53:34 AM    1   50.00    0.00   10.00    1.00    0.00    0.00    0.00    0.00    0.00   39.00
01:53:34 AM    2   49.49    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   39.39
01:53:34 AM    3   41.84    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   39.80
01:53:34 AM    4   76.24    0.99   13.86    0.00    0.00    0.00    0.00    0.00    0.00    8.91
