# started_at=2025-12-14T01:53:18+03:00
# cmd: vmstat 1
# app_pid=1101786

procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 10749536 1087176 8279352    0    0     0  1560 19439 31507 45  9 46  0  0
11  0      0 10749536 1087176 8279352    0    0     0   332 17390 27577 48 12 39  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   864 20928 37122 38 12 50  1  0
 5  0      0 10749536 1087176 8279352    0    0     0  7400 18287 32475 28 12 60  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 10749536 1087176 8279352    0    0     0  4632 18537 28935 46 12 42  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   960 21459 39168 48 15 37  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   396 19897 34030 45 10 45  0  0
12  0      0 10749536 1087176 8279352    0    0     0   360 17572 30542 34 12 53  0  0
 4  0      0 10749536 1087176 8279352    0    0     0  1116 19413 35607 45 14 40  1  0
 5  0      0 10749536 1087176 8279352    0    0     0   672 17354 34538 46 13 41  0  0
 6  0      0 10749536 1087176 8279352    0    0     0  1912 18541 30283 49 10 41  0  0
 5  1      0 10749536 1087176 8279352    0    0     0   852 17763 35593 26 14 59  1  0
21  0      0 10749536 1087176 8279352    0    0     0  1140 19292 37420 26 10 63  1  0
11  0      0 10749536 1087176 8279352    0    0     0 17440 21016 30498 50 10 40  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   520 17801 28325 42 14 45  0  0
 4  0      0 10749536 1087176 8279352    0    0     0   660 18894 37329 25 12 63  1  0
13  0      0 10749536 1087176 8279352    0    0     0   340 15672 27405 43 10 48  0  0
 7  0      0 10749536 1087176 8279352    0    0     0   432 20481 31736 30 10 59  0  0
 7  0      0 10749536 1087176 8279352    0    0     0  1704 18283 30120 43 11 46  0  0
21  0      0 10749536 1087176 8279352    0    0     0  1152 22721 50887 32 17 50  1  0
11  0      0 10749536 1087176 8279352    0    0     0   700 19652 31370 52 11 37  0  0
 5  0      0 10749536 1087176 8279352    0    0     0   428 18995 29637 41 12 47  0  0
 6  0      0 10749536 1087176 8279352    0    0     0   692 22027 37301 50 15 34  1  0
 4  0      0 10749536 1087176 8279352    0    0     0  1256 21454 36896 35 12 52  1  0
12  0      0 10749536 1087176 8279352    0    0     0   600 18583 37969 37 12 50  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
