# started_at=2025-12-14T01:53:18+03:00
# cmd: sar -q 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:56:41 AM         8      1764      6.12      5.67      4.84         0
01:56:42 AM         7      1767      6.12      5.67      4.84         0
01:56:43 AM        20      1766      6.12      5.67      4.84         0
01:56:44 AM         3      1766      6.43      5.74      4.87         0
01:56:45 AM        13      1766      6.43      5.74      4.87         0
01:56:46 AM         8      1760      6.43      5.74      4.87         0
01:56:47 AM        14      1762      6.43      5.74      4.87         0
01:56:48 AM        14      1760      6.43      5.74      4.87         0
01:56:49 AM        15      1762      6.64      5.80      4.89         0
01:56:50 AM        15      1763      6.64      5.80      4.89         0
01:56:51 AM        13      1761      6.64      5.80      4.89         0
01:56:52 AM        16      1765      6.64      5.80      4.89         0
01:56:53 AM        11      1765      6.64      5.80      4.89         0
01:56:54 AM         5      1761      6.35      5.75      4.88         0
01:56:55 AM        19      1764      6.35      5.75      4.88         0
01:56:56 AM        12      1760      6.35      5.75      4.88         0
01:56:57 AM         4      1766      6.35      5.75      4.88         0
01:56:58 AM         7      1753      6.35      5.75      4.88         0
01:56:59 AM         8      1757      6.88      5.87      4.92         0
01:57:00 AM         4      1753      6.88      5.87      4.92         0
01:57:01 AM         4      1769      6.88      5.87      4.92         0
01:57:02 AM         3      1766      6.88      5.87      4.92         0
01:57:03 AM        15      1768      6.88      5.87      4.92         0
01:57:04 AM         9      1750      6.73      5.86      4.92         0
01:57:05 AM        15      1750      6.73      5.86      4.92         0
01:57:06 AM        14      1751      6.73      5.86      4.92         0
01:57:07 AM         4      1750      6.73      5.86      4.92         0
01:57:08 AM        10      1750      6.73      5.86      4.92         0
01:57:09 AM        11      1750      6.67      5.86      4.93         0
01:57:10 AM         4      1752      6.67      5.86      4.93         0
01:57:11 AM         5      1748      6.67      5.86      4.93         0
01:57:12 AM         5      1751      6.67      5.86      4.93         0
01:57:13 AM        10      1749      6.67      5.86      4.93         0
01:57:14 AM        13      1750      6.54      5.84      4.93         0
01:57:15 AM        13      1748      6.54      5.84      4.93         0
01:57:16 AM         4      1753      6.54      5.84      4.93         0
01:57:17 AM         3      1753      6.54      5.84      4.93         0
01:57:18 AM         7      1751      6.54      5.84      4.93         1
01:57:19 AM        10      1753      7.21      6.00      4.98         0
01:57:20 AM         6      1748      7.21      6.00      4.98         0
01:57:21 AM         5      1748      7.21      6.00      4.98         0
01:57:22 AM         4      1747      7.21      6.00      4.98         0
01:57:23 AM         5      1747      7.21      6.00      4.98         0
01:57:24 AM         5      1750      7.68      6.11      5.03         0
01:57:25 AM        10      1749      7.68      6.11      5.03         0
01:57:26 AM         3      1749      7.68      6.11      5.03         0
01:57:27 AM        13      1749      7.68      6.11      5.03         0
01:57:28 AM         3      1750      7.68      6.11      5.03         0
01:57:29 AM        11      1747      7.78      6.16      5.05         0
01:57:30 AM         2      1750      7.78      6.16      5.05         0
01:57:31 AM         4      1750      7.78      6.16      5.05         0
01:57:32 AM         5      1751      7.78      6.16      5.05         0
01:57:33 AM        10      1750      7.78      6.16      5.05         0
01:57:34 AM         3      1750      8.20      6.28      5.09         0
01:57:35 AM        15      1755      8.20      6.28      5.09         0
01:57:36 AM         6      1770      8.20      6.28      5.09         0
01:57:37 AM         7      1770      8.20      6.28      5.09         0
01:57:38 AM        12      1771      8.20      6.28      5.09         0
01:57:39 AM         7      1757      8.18      6.30      5.11         0
01:57:40 AM         2      1752      8.18      6.30      5.11         0
01:57:41 AM        12      1756      8.18      6.30      5.11         1
01:57:42 AM         8      1755      8.18      6.30      5.11         0
01:57:43 AM        10      1753      8.18      6.30      5.11         0
01:57:44 AM        15      1755      8.57      6.42      5.15         1
01:57:45 AM        15      1758      8.57      6.42      5.15         0
01:57:46 AM        17      1750      8.57      6.42      5.15         0
01:57:47 AM        18      1751      8.57      6.42      5.15         0
01:57:48 AM        14      1759      8.57      6.42      5.15         0
01:57:49 AM        12      1755      8.20      6.38      5.14         0
01:57:50 AM         3      1751      8.20      6.38      5.14         0
01:57:51 AM         3      1752      8.20      6.38      5.14         0
01:57:52 AM        11      1758      8.20      6.38      5.14         0
01:57:53 AM         8      1753      8.20      6.38      5.14         0
01:57:54 AM        20      1753      7.79      6.32      5.13         0
01:57:55 AM        10      1753      7.79      6.32      5.13         0
01:57:56 AM        12      1751      7.79      6.32      5.13         0
01:57:57 AM        10      1750      7.79      6.32      5.13         0
01:57:58 AM         8      1750      7.79      6.32      5.13         1
01:57:59 AM        12      1770      7.64      6.31      5.14         0
01:58:00 AM        14      1750      7.64      6.31      5.14         0
01:58:01 AM         8      1748      7.64      6.31      5.14         0
01:58:02 AM         7      1750      7.64      6.31      5.14         0
01:58:03 AM        16      1752      7.64      6.31      5.14         0
01:58:04 AM        10      1753      7.43      6.29      5.14         0
01:58:05 AM        10      1763      7.43      6.29      5.14         0
01:58:06 AM        15      1792      7.43      6.29      5.14         0
01:58:07 AM         9      1779      7.43      6.29      5.14         0
01:58:08 AM         5      1778      7.43      6.29      5.14         0
01:58:09 AM         6      1768      8.04      6.44      5.19         0
01:58:10 AM         5      1760      8.04      6.44      5.19         0
01:58:11 AM        12      1763      8.04      6.44      5.19         0
01:58:12 AM         2      1761      8.04      6.44      5.19         0
01:58:13 AM         6      1763      8.04      6.44      5.19         1
01:58:14 AM         5      1760      7.71      6.40      5.18         1
01:58:15 AM         7      1760      7.71      6.40      5.18         0
01:58:16 AM         4      1765      7.71      6.40      5.18         0
01:58:17 AM        21      1771      7.71      6.40      5.18         0
01:58:18 AM         8      1766      7.71      6.40      5.18         0
01:58:19 AM         4      1764      7.98      6.47      5.21         0
01:58:20 AM         5      1766      7.98      6.47      5.21         0
01:58:21 AM         3      1765      7.98      6.47      5.21         0
01:58:22 AM        12      1762      7.98      6.47      5.21         0
01:58:23 AM         3      1764      7.98      6.47      5.21         1
01:58:24 AM         9      1766      8.38      6.58      5.26         1
01:58:25 AM         3      1764      8.38      6.58      5.26         0
01:58:26 AM         8      1761      8.38      6.58      5.26         0
01:58:27 AM        12      1766      8.38      6.58      5.26         0
01:58:28 AM        12      1764      8.38      6.58      5.26         0
01:58:29 AM        10      1761      8.35      6.61      5.27         0
01:58:30 AM         4      1763      8.35      6.61      5.27         2
01:58:31 AM         3      1761      8.35      6.61      5.27         0
01:58:32 AM         5      1783      8.35      6.61      5.27         0
01:58:33 AM         4      1781      8.35      6.61      5.27         0
01:58:34 AM         4      1783      8.24      6.61      5.28         0
01:58:35 AM         6      1759      8.24      6.61      5.28         0
01:58:36 AM        13      1762      8.24      6.61      5.28         0
01:58:37 AM        16      1767      8.24      6.61      5.28         0
01:58:38 AM         5      1764      8.24      6.61      5.28         0
01:58:39 AM         3      1761      8.46      6.69      5.31         0
01:58:40 AM        17      1760      8.46      6.69      5.31         1
01:58:41 AM         5      1760      8.46      6.69      5.31         0
01:58:42 AM        14      1767      8.46      6.69      5.31         0
01:58:43 AM         9      1766      8.46      6.69      5.31         0
01:58:44 AM        17      1764      8.18      6.66      5.31         0
01:58:45 AM         8      1768      8.18      6.66      5.31         0
01:58:46 AM         8      1760      8.18      6.66      5.31         0
01:58:47 AM        13      1764      8.18      6.66      5.31         0
01:58:48 AM         9      1764      8.18      6.66      5.31         0
01:58:49 AM        10      1763      8.09      6.66      5.32         0
01:58:50 AM        13      1762      8.09      6.66      5.32         0
01:58:51 AM         8      1760      8.09      6.66      5.32         0
01:58:52 AM        10      1763      8.09      6.66      5.32         1
01:58:53 AM         9      1762      8.09      6.66      5.32         0
01:58:54 AM        12      1760      8.32      6.74      5.35         0
01:58:55 AM         7      1760      8.32      6.74      5.35         0
01:58:56 AM        11      1761      8.32      6.74      5.35         0
01:58:57 AM        11      1761      8.32      6.74      5.35         0
01:58:58 AM         8      1761      8.32      6.74      5.35         0
01:58:59 AM         7      1760      8.38      6.77      5.37         0
01:59:00 AM        15      1763      8.38      6.77      5.37         0
01:59:01 AM         3      1762      8.38      6.77      5.37         0
01:59:02 AM        15      1793      8.38      6.77      5.37         0
01:59:03 AM         6      1782      8.38      6.77      5.37         0
01:59:04 AM        12      1780      8.11      6.74      5.37         0
01:59:05 AM        19      1766      8.11      6.74      5.37         1
01:59:06 AM        12      1765      8.11      6.74      5.37         0
01:59:07 AM         5      1765      8.11      6.74      5.37         0
01:59:08 AM         2      1764      8.11      6.74      5.37         0
01:59:09 AM         5      1767      7.94      6.73      5.37         0
01:59:10 AM        17      1766      7.94      6.73      5.37         1
01:59:11 AM         6      1760      7.94      6.73      5.37         1
01:59:12 AM         4      1762      7.94      6.73      5.37         0
01:59:13 AM         2      1760      7.94      6.73      5.37         0
01:59:14 AM         6      1762      8.18      6.80      5.40         0
01:59:15 AM         4      1759      8.18      6.80      5.40         0
01:59:16 AM         5      1763      8.18      6.80      5.40         0
01:59:17 AM         6      1766      8.18      6.80      5.40         0
01:59:18 AM         3      1763      8.18      6.80      5.40         0
01:59:19 AM         6      1765      8.09      6.81      5.41         0
01:59:20 AM         3      1761      8.09      6.81      5.41         0
01:59:21 AM        11      1761      8.09      6.81      5.41         0
01:59:22 AM         3      1773      8.09      6.81      5.41         0
01:59:23 AM         5      1770      8.09      6.81      5.41         0
01:59:24 AM         6      1772      8.16      6.84      5.43         0
