# started_at=2025-12-14T01:53:18+03:00
# cmd: pidstat -w -t -p 1101786 1
# app_pid=1101786

Linux 6.1.0-35-amd64 (WL-c5bd0aca) 	12/14/2025 	_x86_64_	(12 CPU)

01:53:18 AM   UID      TGID       TID   cswch/s nvcswch/s  Command
01:53:43 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:43 AM 174209043         -   1101788     28.00      0.00  |__app_linux_amd64
01:53:43 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:43 AM 174209043         -   1101791     27.00      0.00  |__app_linux_amd64
01:53:43 AM 174209043         -   1101792     25.00      1.00  |__app_linux_amd64
01:53:44 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:44 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:44 AM 174209043         -   1101788     25.00      0.00  |__app_linux_amd64
01:53:44 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:44 AM 174209043         -   1101791     23.00      2.00  |__app_linux_amd64
01:53:44 AM 174209043         -   1101792     30.00      7.00  |__app_linux_amd64
01:53:45 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:45 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:45 AM 174209043         -   1101788     91.00      0.00  |__app_linux_amd64
01:53:45 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:45 AM 174209043         -   1101791     29.00      5.00  |__app_linux_amd64
01:53:45 AM 174209043         -   1101792     33.00      4.00  |__app_linux_amd64
01:53:46 AM 174209043   1101786         -      1.00      0.00  app_linux_amd64
01:53:46 AM 174209043         -   1101786      1.00      0.00  |__app_linux_amd64
01:53:46 AM 174209043         -   1101788     26.00      0.00  |__app_linux_amd64
01:53:46 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:46 AM 174209043         -   1101791     25.00      1.00  |__app_linux_amd64
01:53:46 AM 174209043         -   1101792     24.00      0.00  |__app_linux_amd64
01:53:47 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
01:53:47 AM 174209043         -   1101786      0.00      0.00  |__app_linux_amd64
01:53:47 AM 174209043         -   1101788     66.00      0.00  |__app_linux_amd64
01:53:47 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:47 AM 174209043         -   1101791     27.00      7.00  |__app_linux_amd64
01:53:47 AM 174209043         -   1101792     23.00      0.00  |__app_linux_amd64
01:53:48 AM 174209043   1101786         -      2.00      0.00  app_linux_amd64
01:53:48 AM 174209043         -   1101786      2.00      0.00  |__app_linux_amd64
01:53:48 AM 174209043         -   1101788    131.00      0.00  |__app_linux_amd64
01:53:48 AM 174209043         -   1101789      0.00      0.00  |__app_linux_amd64
01:53:48 AM 174209043         -   1101791     23.00      0.00  |__app_linux_amd64
01:53:48 AM 174209043         -   1101792     22.00      0.00  |__app_linux_amd64
01:53:49 AM 174209043   1101786         -      0.00      0.00  app_linux_amd64
